Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price
Volkswagen Ameo [2016-2017] Highline 1.5L AT (D),Volkswagen,Ameo,2017,silver,sedan,"44,611",1st,5,diesel,45,1.5L TDI Engine,1498,7-Speed,Automatic,109.0,250.0,21.66,BS IV,"6,57,000"
Hyundai i20 Active [2015-2020] 1.2 SX,Hyundai,i20 Active,2016,red,crossover,"20,305",1st,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Manual,82.0,115.0,17.19,BS V,"6,82,000"
Honda WR-V VX i-VTEC,Honda,WR-V,2019,white,suv,"29,540",2nd,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110.0,16.5,BS IV,"7,93,000"
Renault Kwid 1.0 RXT AMT,Renault,Kwid,2017,bronze,hatchback,"35,680",1st,5,petrol,28,1.0L,999,5-Speed,Manual,67.0,91.0,21.7,BS IV,"4,14,000"
Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT,Hyundai,Grand i10,2017,orange,hatchback,"25,126",1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.9,BS V,"5,15,000"
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2016,red,hatchback,"52,261",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"6,04,000"
Honda Brio [2011-2016] V MT,Honda,Brio,2012,grey,hatchback,"28,108",2nd,5,petrol,35,4 cylinder inline petrol,1198,5-Speed,Manual,86.8,109.0,19.4,BS III,"3,16,000"
Tata Harrier XZ,Tata,Harrier,2019,grey,suv,"92,603",1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Automatic,138.0,350.0,17.0,BS IV,"14,19,000"
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,Hyundai,Grand i10 Nios,2021,blue,hatchback,"16,304",1st,5,petrol,37,1.2 L Kappa Petrol,1197,5-Speed,Manual,81.86,113.75,20.07,BS IV,"7,10,000"
Renault Kwid 1.0 RXT Opt,Renault,Kwid,2019,bronze,hatchback,"26,350",2nd,5,petrol,28,Petrol Engine,999,5-Speed,Manual,67.0,91.0,22.0,BS IV,"3,92,000"
